cohort,model,method,repeat,n,positive_rate,raw_accuracy,calibrated_accuracy,accuracy_change,raw_balanced_accuracy,calibrated_balanced_accuracy,balanced_accuracy_change,raw_sensitivity,calibrated_sensitivity,sensitivity_change,raw_specificity,calibrated_specificity,specificity_change,raw_auroc,calibrated_auroc,auroc_change,raw_auprc,calibrated_auprc,auprc_change,raw_brier,calibrated_brier,brier_improvement,raw_log_loss,calibrated_log_loss,log_loss_improvement,raw_ece_5,calibrated_ece_5,ece_5_improvement,raw_ece_10,calibrated_ece_10,ece_10_improvement
toddler,logreg,platt,0,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00388318,0.00000013,0.00388305,0.02717155,0.00002930,0.02714225,0.02491398,0.00002923,0.02488475,0.02491398,0.00002923,0.02488475
toddler,logreg,platt,1,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00396740,0.00000049,0.00396690,0.02740967,0.00004185,0.02736782,0.02508592,0.00004160,0.02504432,0.02508592,0.00004160,0.02504432
toddler,logreg,platt,2,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00373856,0.00000003,0.00373853,0.02663568,0.00001381,0.02662187,0.02447909,0.00001379,0.02446529,0.02447909,0.00001379,0.02446529
toddler,logreg,platt,3,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00434811,0.00000019,0.00434791,0.02856797,0.00004661,0.02852136,0.02600038,0.00004651,0.02595387,0.02600038,0.00004651,0.02595387
toddler,logreg,platt,4,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00402885,0.00000005,0.00402880,0.02774481,0.00002443,0.02772038,0.02540797,0.00002440,0.02538357,0.02540797,0.00002440,0.02538357
toddler,logreg,platt,5,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00397707,0.00000136,0.00397571,0.02728085,0.00005341,0.02722744,0.02494803,0.00005272,0.02489531,0.02494803,0.00005272,0.02489531
toddler,logreg,platt,6,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00368023,0.00000011,0.00368012,0.02625560,0.00002326,0.02623234,0.02412900,0.00002320,0.02410580,0.02412900,0.00002320,0.02410580
toddler,logreg,platt,7,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00404160,0.00000127,0.00404033,0.02755635,0.00004884,0.02750751,0.02518676,0.00004819,0.02513857,0.02518676,0.00004819,0.02513857
toddler,logreg,platt,8,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00414181,0.00000151,0.00414030,0.02807697,0.00007364,0.02800333,0.02566367,0.00007287,0.02559080,0.02566367,0.00007287,0.02559080
toddler,logreg,platt,9,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00378269,0.00000055,0.00378214,0.02674616,0.00003612,0.02671004,0.02455980,0.00003584,0.02452395,0.02455980,0.00003584,0.02452395
