cohort,model,method,n_repeats,calibrated_brier_mean,calibrated_brier_sd,calibrated_brier_ci95_lower,calibrated_brier_ci95_upper,calibrated_log_loss_mean,calibrated_log_loss_sd,calibrated_log_loss_ci95_lower,calibrated_log_loss_ci95_upper,calibrated_ece_5_mean,calibrated_ece_5_sd,calibrated_ece_5_ci95_lower,calibrated_ece_5_ci95_upper,calibrated_ece_10_mean,calibrated_ece_10_sd,calibrated_ece_10_ci95_lower,calibrated_ece_10_ci95_upper,brier_improvement_mean,brier_improvement_sd,brier_improvement_ci95_lower,brier_improvement_ci95_upper,log_loss_improvement_mean,log_loss_improvement_sd,log_loss_improvement_ci95_lower,log_loss_improvement_ci95_upper,ece_5_improvement_mean,ece_5_improvement_sd,ece_5_improvement_ci95_lower,ece_5_improvement_ci95_upper,ece_10_improvement_mean,ece_10_improvement_sd,ece_10_improvement_ci95_lower,ece_10_improvement_ci95_upper,n_samples,positive_rate,brier_improved_fraction,ece_5_improved_fraction
toddler,logreg,platt,10,0.00000057,0.00000059,0.00000015,0.00000099,0.00003913,0.00001753,0.00002658,0.00005167,0.00003883,0.00001728,0.00002648,0.00005119,0.00003883,0.00001728,0.00002648,0.00005119,0.00395838,0.00019983,0.00381543,0.00410133,0.02730543,0.00068219,0.02681743,0.02779344,0.02499862,0.00055413,0.02460222,0.02539503,0.02499862,0.00055413,0.02460222,0.02539503,1054,0.69070209,1.00000000,1.00000000
toddler,logreg,temperature,10,0.00000156,0.00000312,0.00000000,0.00000380,0.00002967,0.00003730,0.00000299,0.00005636,0.00002885,0.00003584,0.00000321,0.00005449,0.00002885,0.00003584,0.00000321,0.00005449,0.00395739,0.00019983,0.00381444,0.00410034,0.02731488,0.00069643,0.02681669,0.02781308,0.02500861,0.00056842,0.02460199,0.02541523,0.02500861,0.00056842,0.02460199,0.02541523,1054,0.69070209,1.00000000,1.00000000
toddler,logreg,histbin,10,0.00000902,0.00002854,0.00000000,0.00002944,0.00003499,0.00011064,0.00000000,0.00011414,0.00002926,0.00009253,0.00000000,0.00009546,0.00002926,0.00009253,0.00000000,0.00009546,0.00394992,0.00019275,0.00381204,0.00408781,0.02730957,0.00066001,0.02683743,0.02778172,0.02500820,0.00053545,0.02462516,0.02539123,0.02500820,0.00053545,0.02462516,0.02539123,1054,0.69070209,1.00000000,1.00000000
toddler,logreg,isotonic,10,0.00000566,0.00001275,0.00000000,0.00001478,0.00004499,0.00007054,0.00000000,0.00009545,0.00004177,0.00006349,0.00000000,0.00008719,0.00004177,0.00006349,0.00000000,0.00008719,0.00395328,0.00019654,0.00381269,0.00409388,0.02729957,0.00068117,0.02681230,0.02778685,0.02499569,0.00055507,0.02459861,0.02539276,0.02499569,0.00055507,0.02459861,0.02539276,1054,0.69070209,1.00000000,1.00000000
toddler,logreg,beta,10,0.00000085,0.00000074,0.00000032,0.00000138,0.00005483,0.00002183,0.00003921,0.00007044,0.00005439,0.00002154,0.00003898,0.00006980,0.00005439,0.00002154,0.00003898,0.00006980,0.00395810,0.00019973,0.00381522,0.00410098,0.02728973,0.00067782,0.02680485,0.02777462,0.02498307,0.00054999,0.02458963,0.02537651,0.02498307,0.00054999,0.02458963,0.02537651,1054,0.69070209,1.00000000,1.00000000
toddler,dtree,platt,10,0.06907927,0.00683775,0.06418784,0.07397070,0.25913175,0.02051601,0.24445548,0.27380803,0.01289742,0.00625700,0.00842143,0.01737341,0.01441754,0.00499028,0.01084771,0.01798736,0.00791256,0.00139577,0.00691408,0.00891104,2.00453218,0.27679074,1.80652801,2.20253635,0.06206726,0.00976721,0.05508022,0.06905430,0.06060021,0.00892118,0.05421838,0.06698204,1054,0.69070209,1.00000000,1.00000000
toddler,dtree,temperature,10,0.07029817,0.00676459,0.06545907,0.07513727,0.26431129,0.02080024,0.24943169,0.27919088,0.02737652,0.00579636,0.02323006,0.03152299,0.02737652,0.00579636,0.02323006,0.03152299,0.00669366,0.00110370,0.00590412,0.00748320,1.99935265,0.27611274,1.80183349,2.19687180,0.04758816,0.01033330,0.04019617,0.05498016,0.04764122,0.01024918,0.04030940,0.05497304,1054,0.69070209,1.00000000,1.00000000
toddler,dtree,histbin,10,0.07023809,0.00682671,0.06535455,0.07512162,0.26828352,0.03171460,0.24559626,0.29097078,0.01558591,0.00487075,0.01210158,0.01907023,0.01921432,0.00478298,0.01579278,0.02263586,0.00675375,0.00188476,0.00540547,0.00810202,1.99538041,0.27647926,1.79759906,2.19316176,0.05937878,0.00926034,0.05275433,0.06600322,0.05580342,0.01014929,0.04854306,0.06306378,1054,0.69070209,1.00000000,1.00000000
toddler,dtree,isotonic,10,0.06993025,0.00691508,0.06498349,0.07487700,0.26163745,0.02078418,0.24676934,0.27650555,0.01466753,0.00548431,0.01074429,0.01859077,0.01872535,0.00485561,0.01525186,0.02219885,0.00706158,0.00163945,0.00588879,0.00823438,2.00202649,0.27711595,1.80378967,2.20026330,0.06029715,0.00897657,0.05387570,0.06671861,0.05629239,0.00917954,0.04972574,0.06285904,1054,0.69070209,1.00000000,1.00000000
toddler,dtree,beta,10,0.06939273,0.00690702,0.06445175,0.07433372,0.26003166,0.02067267,0.24524332,0.27482000,0.01409626,0.00642221,0.00950208,0.01869044,0.01759652,0.00526225,0.01383214,0.02136091,0.00759910,0.00163278,0.00643107,0.00876712,2.00363227,0.27671385,1.80568311,2.20158143,0.06086842,0.01017665,0.05358848,0.06814836,0.05742122,0.01023596,0.05009885,0.06474358,1054,0.69070209,1.00000000,1.00000000
