cohort,method,n_repeats,calibrated_brier_mean,calibrated_brier_sd,calibrated_brier_ci95_lower,calibrated_brier_ci95_upper,calibrated_log_loss_mean,calibrated_log_loss_sd,calibrated_log_loss_ci95_lower,calibrated_log_loss_ci95_upper,calibrated_ece_5_mean,calibrated_ece_5_sd,calibrated_ece_5_ci95_lower,calibrated_ece_5_ci95_upper,calibrated_ece_10_mean,calibrated_ece_10_sd,calibrated_ece_10_ci95_lower,calibrated_ece_10_ci95_upper,brier_improvement_mean,brier_improvement_sd,brier_improvement_ci95_lower,brier_improvement_ci95_upper,log_loss_improvement_mean,log_loss_improvement_sd,log_loss_improvement_ci95_lower,log_loss_improvement_ci95_upper,ece_5_improvement_mean,ece_5_improvement_sd,ece_5_improvement_ci95_lower,ece_5_improvement_ci95_upper,ece_10_improvement_mean,ece_10_improvement_sd,ece_10_improvement_ci95_lower,ece_10_improvement_ci95_upper,brier_improved_fraction,ece_5_improved_fraction,brier_best_repeat_count,ece_5_best_repeat_count,brier_rank,ece_5_rank
toddler,beta,10,0.02630535,0.00118063,0.02546077,0.02714992,0.09264026,0.00547424,0.08872423,0.09655629,0.00859626,0.00118134,0.00775118,0.00944134,0.01164684,0.00128103,0.01073044,0.01256324,0.01714104,0.00040266,0.01685299,0.01742908,0.31967562,0.02729602,0.30014923,0.33920201,0.07154075,0.00175335,0.07028648,0.07279502,0.06958250,0.00142540,0.06856283,0.07060218,0.93333333,0.96666667,7.00000000,1.00000000,1,3
toddler,platt,10,0.02641266,0.00116858,0.02557670,0.02724861,0.09159851,0.00369385,0.08895608,0.09424093,0.00955929,0.00110060,0.00877197,0.01034661,0.01194868,0.00115013,0.01112593,0.01277144,0.01703373,0.00039925,0.01674812,0.01731933,0.32071737,0.02843009,0.30037971,0.34105504,0.07057772,0.00166647,0.06938559,0.07176984,0.06928066,0.00143778,0.06825213,0.07030919,0.88888889,0.95555556,1.00000000,0.00000000,2,4
toddler,isotonic,10,0.02648141,0.00117217,0.02564290,0.02731993,0.11565864,0.01329454,0.10614830,0.12516898,0.00749942,0.00095787,0.00681420,0.00818464,0.01056109,0.00089568,0.00992036,0.01120183,0.01696497,0.00039494,0.01668245,0.01724749,0.29665724,0.02534122,0.27852922,0.31478526,0.07263759,0.00111491,0.07184003,0.07343515,0.07066825,0.00094593,0.06999157,0.07134493,1.00000000,1.00000000,2.00000000,2.00000000,3,2
toddler,histbin,10,0.02742995,0.00126629,0.02652410,0.02833580,0.12078990,0.01519999,0.10991648,0.13166332,0.00726425,0.00072780,0.00674361,0.00778489,0.01001525,0.00093561,0.00934596,0.01068455,0.01601644,0.00054132,0.01562920,0.01640367,0.29152598,0.02519880,0.27349984,0.30955211,0.07287276,0.00118022,0.07202848,0.07371704,0.07121409,0.00140831,0.07020665,0.07222153,0.97777778,1.00000000,0.00000000,7.00000000,4,1
toddler,temperature,10,0.03088326,0.00116598,0.03004917,0.03171735,0.10550555,0.00355284,0.10296400,0.10804710,0.02536609,0.00122374,0.02449067,0.02624150,0.02611083,0.00147080,0.02505869,0.02716298,0.01256313,0.00030017,0.01234840,0.01277785,0.30681033,0.02831470,0.28655521,0.32706545,0.05477092,0.00166987,0.05357637,0.05596547,0.05511851,0.00173691,0.05387600,0.05636102,0.88888889,0.88888889,0.00000000,0.00000000,5,5
child,beta,10,0.06273707,0.00509276,0.05909392,0.06638021,0.21264725,0.02487435,0.19485321,0.23044129,0.02827542,0.00534031,0.02445519,0.03209565,0.03656345,0.00638112,0.03199867,0.04112823,0.02895777,0.00282541,0.02693659,0.03097894,0.72201805,0.09988111,0.65056741,0.79346869,0.10219816,0.00857361,0.09606497,0.10833135,0.10521332,0.01056458,0.09765587,0.11277076,0.97777778,0.98888889,7.00000000,1.00000000,1,3
child,isotonic,10,0.06346078,0.00549964,0.05952657,0.06739498,0.34213118,0.12431651,0.25320051,0.43106186,0.02502790,0.00533486,0.02121157,0.02884423,0.03517008,0.00669148,0.03038328,0.03995687,0.02823406,0.00262780,0.02635425,0.03011387,0.59253412,0.17321601,0.46862284,0.71644539,0.10544568,0.00882805,0.09913047,0.11176089,0.10660668,0.01116301,0.09862115,0.11459222,0.94444444,0.98888889,2.00000000,5.00000000,2,1
child,platt,10,0.06407744,0.00499706,0.06050276,0.06765213,0.21666769,0.02150749,0.20128216,0.23205323,0.03189178,0.00366964,0.02926668,0.03451688,0.04013259,0.00358698,0.03756662,0.04269856,0.02761739,0.00272872,0.02566538,0.02956940,0.71799760,0.09720548,0.64846099,0.78753422,0.09858180,0.00679105,0.09372378,0.10343983,0.10164417,0.00918390,0.09507441,0.10821394,0.88888889,0.94444444,1.00000000,0.00000000,3,4
child,temperature,10,0.06625727,0.00482132,0.06280830,0.06970624,0.22128354,0.02020168,0.20683213,0.23573495,0.03882974,0.00309934,0.03661260,0.04104687,0.04529259,0.00388043,0.04251670,0.04806848,0.02543756,0.00238311,0.02373279,0.02714234,0.71338175,0.09511446,0.64534097,0.78142254,0.09164384,0.00680247,0.08677765,0.09651004,0.09648418,0.00894698,0.09008390,0.10288446,0.87777778,0.88888889,0.00000000,0.00000000,4,5
child,histbin,10,0.06646424,0.00555974,0.06248705,0.07044144,0.35856100,0.06289257,0.31357037,0.40355163,0.02591744,0.00447960,0.02271293,0.02912195,0.03451418,0.00583693,0.03033870,0.03868967,0.02523059,0.00284824,0.02319308,0.02726809,0.57610429,0.12438747,0.48712286,0.66508573,0.10455615,0.00719902,0.09940628,0.10970602,0.10726258,0.01037606,0.09984000,0.11468516,0.87777778,0.98888889,0.00000000,4.00000000,5,2
adolescent,platt,10,0.10432171,0.01084492,0.09656372,0.11207970,0.36180239,0.05276635,0.32405562,0.39954917,0.06133778,0.00937062,0.05463444,0.06804111,0.07747937,0.01007894,0.07026932,0.08468941,0.02935769,0.00582075,0.02519378,0.03352160,1.14484870,0.11417567,1.06317235,1.22652505,0.09213849,0.01091826,0.08432804,0.09994894,0.08959923,0.01186595,0.08111084,0.09808762,0.86666667,0.91111111,5.00000000,3.00000000,1,2
adolescent,beta,10,0.10487556,0.01009447,0.09765441,0.11209672,0.35655756,0.04807214,0.32216883,0.39094629,0.06064180,0.00969380,0.05370727,0.06757633,0.08052114,0.00889724,0.07415644,0.08688585,0.02880383,0.00505746,0.02518595,0.03242172,1.15009353,0.11701160,1.06638848,1.23379858,0.09283447,0.01077694,0.08512511,0.10054383,0.08655745,0.01078659,0.07884119,0.09427371,0.85555556,0.88888889,5.00000000,4.00000000,2,1
adolescent,temperature,10,0.10780710,0.00879211,0.10151760,0.11409659,0.34412884,0.03217457,0.32111253,0.36714514,0.07148255,0.00983191,0.06444922,0.07851588,0.08574381,0.01015986,0.07847588,0.09301174,0.02587230,0.00439381,0.02272916,0.02901544,1.16252226,0.12967931,1.06975527,1.25528924,0.08199372,0.01163444,0.07367094,0.09031650,0.08133479,0.01113471,0.07336949,0.08930008,0.87777778,0.88888889,0.00000000,0.00000000,3,5
adolescent,isotonic,10,0.10885609,0.01132998,0.10075111,0.11696107,0.91018908,0.28391480,0.70708866,1.11328949,0.06570743,0.01321328,0.05625522,0.07515964,0.07942358,0.01072546,0.07175104,0.08709611,0.02482331,0.00621512,0.02037728,0.02926934,0.59646201,0.24031910,0.42454808,0.76837594,0.08776884,0.01530047,0.07682355,0.09871414,0.08765502,0.01372928,0.07783369,0.09747635,0.80000000,0.86666667,0.00000000,3.00000000,4,3
adolescent,histbin,10,0.11889972,0.01052989,0.11136709,0.12643235,1.11800616,0.24180290,0.94503078,1.29098154,0.07090068,0.01138004,0.06275989,0.07904147,0.08829588,0.01448133,0.07793656,0.09865520,0.01477968,0.00553231,0.01082211,0.01873726,0.38864493,0.21446457,0.23522622,0.54206365,0.08257559,0.01366155,0.07280270,0.09234847,0.07878272,0.01772476,0.06610319,0.09146225,0.63333333,0.82222222,0.00000000,0.00000000,5,4
adult,beta,10,0.03129076,0.00169680,0.03007694,0.03250457,0.10701607,0.00669905,0.10222386,0.11180828,0.00936011,0.00151985,0.00827288,0.01044735,0.01396423,0.00144629,0.01292962,0.01499884,0.01631265,0.00086009,0.01569738,0.01692792,0.32982292,0.02978076,0.30851905,0.35112679,0.07257046,0.00337937,0.07015300,0.07498791,0.07064187,0.00376622,0.06794768,0.07333606,0.94444444,0.96666667,6.00000000,7.00000000,1,1
adult,platt,10,0.03133975,0.00167139,0.03014411,0.03253539,0.10573142,0.00559809,0.10172679,0.10973606,0.01019545,0.00167913,0.00899427,0.01139662,0.01526110,0.00129665,0.01433354,0.01618867,0.01626366,0.00094686,0.01558631,0.01694100,0.33110757,0.03065636,0.30917733,0.35303781,0.07173512,0.00353515,0.06920623,0.07426402,0.06934500,0.00356805,0.06679257,0.07189743,0.91111111,0.95555556,4.00000000,1.00000000,2,2
adult,isotonic,10,0.03206503,0.00172527,0.03083084,0.03329922,0.16422857,0.02325036,0.14759627,0.18086088,0.01079562,0.00162628,0.00963226,0.01195899,0.01518768,0.00186798,0.01385141,0.01652395,0.01553837,0.00090997,0.01488742,0.01618933,0.27261042,0.02880163,0.25200697,0.29321387,0.07113495,0.00368079,0.06850187,0.07376802,0.06941842,0.00357282,0.06686258,0.07197426,0.92222222,1.00000000,0.00000000,0.00000000,3,4
adult,histbin,10,0.03295519,0.00154869,0.03184732,0.03406306,0.16387858,0.01793700,0.15104723,0.17670993,0.01066060,0.00203436,0.00920531,0.01211589,0.01412419,0.00195085,0.01272863,0.01551974,0.01464822,0.00100768,0.01392737,0.01536907,0.27296041,0.03720107,0.24634837,0.29957246,0.07126997,0.00288605,0.06920542,0.07333452,0.07048191,0.00359109,0.06791300,0.07305083,0.83333333,1.00000000,0.00000000,2.00000000,4,3
adult,temperature,10,0.03640214,0.00173174,0.03516333,0.03764095,0.12377497,0.00602845,0.11946248,0.12808746,0.03351524,0.00185358,0.03218928,0.03484121,0.03472242,0.00205066,0.03325547,0.03618937,0.01120126,0.00070110,0.01069973,0.01170280,0.31306403,0.03046194,0.29127287,0.33485519,0.04841533,0.00208161,0.04692623,0.04990442,0.04988368,0.00273080,0.04793019,0.05183718,0.88888889,0.90000000,0.00000000,0.00000000,5,5
