Stage,Model,"Accuracy, mean ± SD","AUROC, mean ± SD","Brier, mean ± SD","ECE5, mean ± SD"
Toddler,Logistic Regression,1.0000 ± 0.0000,1.0000 ± 0.0000,0.0040 ± 0.0002,0.0250 ± 0.0006
Toddler,Decision Tree,0.9099 ± 0.0077,0.9209 ± 0.0097,0.0770 ± 0.0074,0.0750 ± 0.0071
Toddler,KNN,0.9509 ± 0.0034,0.9895 ± 0.0017,0.0361 ± 0.0015,0.0213 ± 0.0028
Toddler,Naive Bayes,0.9269 ± 0.0072,0.9726 ± 0.0048,0.0602 ± 0.0049,0.0523 ± 0.0066
Toddler,Random Forest,0.9588 ± 0.0031,0.9950 ± 0.0005,0.0431 ± 0.0008,0.0877 ± 0.0029
Toddler,SVM,0.9911 ± 0.0016,0.9999 ± 0.0001,0.0393 ± 0.0007,0.1377 ± 0.0013
Toddler,XGBoost,0.9846 ± 0.0023,0.9993 ± 0.0002,0.0159 ± 0.0011,0.0346 ± 0.0017
Toddler,AdaBoost,0.9194 ± 0.0026,0.9916 ± 0.0005,0.1020 ± 0.0003,0.2478 ± 0.0026
Toddler,MLP,0.9891 ± 0.0043,0.9998 ± 0.0001,0.0135 ± 0.0022,0.0399 ± 0.0036
Child,Logistic Regression,0.9931 ± 0.0040,0.9999 ± 0.0001,0.0159 ± 0.0011,0.0594 ± 0.0039
Child,Decision Tree,0.8697 ± 0.0165,0.8930 ± 0.0195,0.1155 ± 0.0167,0.1084 ± 0.0169
Child,KNN,0.9034 ± 0.0073,0.9739 ± 0.0034,0.0691 ± 0.0040,0.0621 ± 0.0047
Child,Naive Bayes,0.8066 ± 0.0168,0.8329 ± 0.0141,0.1728 ± 0.0145,0.1599 ± 0.0148
Child,Random Forest,0.9390 ± 0.0100,0.9877 ± 0.0023,0.0891 ± 0.0015,0.1599 ± 0.0078
Child,SVM,0.9672 ± 0.0078,0.9963 ± 0.0011,0.0823 ± 0.0015,0.1914 ± 0.0080
Child,XGBoost,0.9662 ± 0.0060,0.9949 ± 0.0010,0.0311 ± 0.0024,0.0417 ± 0.0050
Child,AdaBoost,0.9117 ± 0.0107,0.9828 ± 0.0029,0.1320 ± 0.0010,0.2360 ± 0.0042
Child,MLP,0.8848 ± 0.0420,0.9522 ± 0.0373,0.1174 ± 0.0250,0.1556 ± 0.0223
Adolescent,Logistic Regression,0.9447 ± 0.0215,0.9902 ± 0.0049,0.0444 ± 0.0072,0.0573 ± 0.0100
Adolescent,Decision Tree,0.7786 ± 0.0266,0.7891 ± 0.0240,0.2000 ± 0.0188,0.1879 ± 0.0223
Adolescent,KNN,0.8262 ± 0.0174,0.9520 ± 0.0142,0.1130 ± 0.0064,0.1334 ± 0.0055
Adolescent,Naive Bayes,0.7252 ± 0.0471,0.7521 ± 0.0611,0.2523 ± 0.0460,0.2550 ± 0.0433
Adolescent,Random Forest,0.9049 ± 0.0228,0.9714 ± 0.0084,0.1097 ± 0.0041,0.1669 ± 0.0151
Adolescent,SVM,0.9175 ± 0.0173,0.9817 ± 0.0067,0.1168 ± 0.0034,0.2045 ± 0.0113
Adolescent,XGBoost,0.9194 ± 0.0263,0.9761 ± 0.0132,0.0609 ± 0.0112,0.0592 ± 0.0134
Adolescent,AdaBoost,0.8214 ± 0.0297,0.9183 ± 0.0295,0.1396 ± 0.0084,0.1587 ± 0.0249
Adolescent,MLP,0.8097 ± 0.0463,0.8770 ± 0.0564,0.1664 ± 0.0196,0.1584 ± 0.0226
Adult,Logistic Regression,0.9990 ± 0.0014,1.0000 ± 0.0000,0.0073 ± 0.0003,0.0326 ± 0.0014
Adult,Decision Tree,0.9093 ± 0.0095,0.9060 ± 0.0124,0.0838 ± 0.0086,0.0792 ± 0.0088
Adult,KNN,0.9562 ± 0.0048,0.9922 ± 0.0017,0.0312 ± 0.0016,0.0186 ± 0.0019
Adult,Naive Bayes,0.9382 ± 0.0022,0.9830 ± 0.0007,0.0465 ± 0.0013,0.0274 ± 0.0030
Adult,Random Forest,0.9584 ± 0.0031,0.9947 ± 0.0008,0.0530 ± 0.0007,0.1325 ± 0.0042
Adult,SVM,0.9813 ± 0.0027,0.9991 ± 0.0002,0.0519 ± 0.0006,0.1646 ± 0.0031
Adult,XGBoost,0.9817 ± 0.0042,0.9983 ± 0.0006,0.0172 ± 0.0020,0.0251 ± 0.0035
Adult,AdaBoost,0.8808 ± 0.0072,0.9739 ± 0.0012,0.1069 ± 0.0007,0.1887 ± 0.0035
Adult,MLP,0.9644 ± 0.0124,0.9974 ± 0.0020,0.0306 ± 0.0122,0.0686 ± 0.0256
