Stage,Method,"Brier, mean [95% CI]",Mean Brier improvement,Improved cases,Brier rank,Repeat wins,"ECE5, mean",ECE5 rank
Toddler,Beta,"0.0263 [0.0255, 0.0271]",0.0171,93.3%,1,7,0.0086,3
Toddler,Platt,"0.0264 [0.0256, 0.0272]",0.0170,88.9%,2,1,0.0096,4
Toddler,Isotonic,"0.0265 [0.0256, 0.0273]",0.0170,100.0%,3,2,0.0075,2
Toddler,Histogram,"0.0274 [0.0265, 0.0283]",0.0160,97.8%,4,0,0.0073,1
Toddler,Temperature,"0.0309 [0.0300, 0.0317]",0.0126,88.9%,5,0,0.0254,5
Child,Beta,"0.0627 [0.0591, 0.0664]",0.0290,97.8%,1,7,0.0283,3
Child,Isotonic,"0.0635 [0.0595, 0.0674]",0.0282,94.4%,2,2,0.0250,1
Child,Platt,"0.0641 [0.0605, 0.0677]",0.0276,88.9%,3,1,0.0319,4
Child,Temperature,"0.0663 [0.0628, 0.0697]",0.0254,87.8%,4,0,0.0388,5
Child,Histogram,"0.0665 [0.0625, 0.0704]",0.0252,87.8%,5,0,0.0259,2
Adolescent,Platt,"0.1043 [0.0966, 0.1121]",0.0294,86.7%,1,5,0.0613,2
Adolescent,Beta,"0.1049 [0.0977, 0.1121]",0.0288,85.6%,2,5,0.0606,1
Adolescent,Temperature,"0.1078 [0.1015, 0.1141]",0.0259,87.8%,3,0,0.0715,5
Adolescent,Isotonic,"0.1089 [0.1008, 0.1170]",0.0248,80.0%,4,0,0.0657,3
Adolescent,Histogram,"0.1189 [0.1114, 0.1264]",0.0148,63.3%,5,0,0.0709,4
Adult,Beta,"0.0313 [0.0301, 0.0325]",0.0163,94.4%,1,6,0.0094,1
Adult,Platt,"0.0313 [0.0301, 0.0325]",0.0163,91.1%,2,4,0.0102,2
Adult,Isotonic,"0.0321 [0.0308, 0.0333]",0.0155,92.2%,3,0,0.0108,4
Adult,Histogram,"0.0330 [0.0318, 0.0341]",0.0146,83.3%,4,0,0.0107,3
Adult,Temperature,"0.0364 [0.0352, 0.0376]",0.0112,88.9%,5,0,0.0335,5
