cohort,model,repeat,n,positive_rate,accuracy,balanced_accuracy,sensitivity,specificity,auroc,auprc,brier,log_loss,ece_5,ece_10
toddler,logreg,0,1054,0.69070209,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00388318,0.02717155,0.02491398,0.02491398
toddler,logreg,1,1054,0.69070209,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00396740,0.02740967,0.02508592,0.02508592
toddler,logreg,2,1054,0.69070209,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00373856,0.02663568,0.02447909,0.02447909
toddler,logreg,3,1054,0.69070209,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00434811,0.02856797,0.02600038,0.02600038
toddler,logreg,4,1054,0.69070209,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00402885,0.02774481,0.02540797,0.02540797
toddler,logreg,5,1054,0.69070209,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00397707,0.02728085,0.02494803,0.02494803
toddler,logreg,6,1054,0.69070209,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00368023,0.02625560,0.02412900,0.02412900
toddler,logreg,7,1054,0.69070209,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00404160,0.02755635,0.02518676,0.02518676
toddler,logreg,8,1054,0.69070209,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00414181,0.02807697,0.02566367,0.02566367
toddler,logreg,9,1054,0.69070209,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00378269,0.02674616,0.02455980,0.02455980
toddler,dtree,0,1054,0.69070209,0.90417457,0.89760163,0.91483516,0.88036810,0.91409779,0.93378278,0.08202515,2.37269058,0.07802199,0.07802199
toddler,dtree,1,1054,0.69070209,0.91745731,0.91314552,0.92445055,0.90184049,0.92489298,0.94255851,0.07268783,2.22130942,0.06913896,0.06913896
toddler,dtree,2,1054,0.69070209,0.90986717,0.90680409,0.91483516,0.89877301,0.92754332,0.94329477,0.07389119,2.03290561,0.07469249,0.07469249
toddler,dtree,3,1054,0.69070209,0.90796964,0.89950196,0.92170330,0.87730061,0.91111668,0.93153570,0.08241441,2.56342421,0.07877214,0.07877214
toddler,dtree,4,1054,0.69070209,0.91461101,0.91447280,0.91483516,0.91411043,0.92599061,0.94453055,0.07534596,2.35480409,0.07250813,0.07303871
toddler,dtree,5,1054,0.69070209,0.92030361,0.91774675,0.92445055,0.91104294,0.93336227,0.94830742,0.06804035,1.95454783,0.06620985,0.06620985
toddler,dtree,6,1054,0.69070209,0.91555977,0.90838418,0.92719780,0.88957055,0.92883056,0.94286405,0.06740279,1.85703374,0.06896884,0.06896884
toddler,dtree,7,1054,0.69070209,0.89373814,0.88581204,0.90659341,0.86503067,0.90139174,0.92415523,0.09190135,2.84154449,0.09174105,0.09174105
toddler,dtree,8,1054,0.69070209,0.90607211,0.90405683,0.90934066,0.89877301,0.92468862,0.94184466,0.07669125,2.10437657,0.07388573,0.07388573
toddler,dtree,9,1054,0.69070209,0.90891841,0.90272956,0.91895604,0.88650307,0.91728325,0.93635287,0.07951803,2.33400280,0.07570765,0.07570765
toddler,knn,0,1054,0.69070209,0.95540797,0.95586277,0.95467033,0.95705521,0.99006860,0.99345130,0.03404175,0.19729684,0.01726755,0.01916509
toddler,knn,1,1054,0.69070209,0.95256167,0.95210847,0.95329670,0.95092025,0.99201738,0.99499342,0.03445920,0.13637470,0.02656546,0.02656546
toddler,knn,2,1054,0.69070209,0.94876660,0.94766736,0.95054945,0.94478528,0.98957350,0.99373002,0.03741935,0.20595157,0.02504744,0.02504744
toddler,knn,3,1054,0.69070209,0.95256167,0.95380233,0.95054945,0.95705521,0.99002014,0.99330766,0.03563567,0.16988055,0.01954459,0.02144213
toddler,knn,4,1054,0.69070209,0.95161290,0.95057473,0.95329670,0.94785276,0.99017815,0.99403497,0.03666034,0.17317423,0.02125237,0.02125237
toddler,knn,5,1054,0.69070209,0.95445920,0.95432903,0.95467033,0.95398773,0.99039726,0.99423579,0.03521822,0.20071300,0.02125237,0.02125237
toddler,knn,6,1054,0.69070209,0.94497154,0.94492011,0.94505495,0.94478528,0.98819777,0.99175504,0.03643264,0.20177338,0.01821632,0.02201139
toddler,knn,7,1054,0.69070209,0.95256167,0.95295540,0.95192308,0.95398773,0.99091553,0.99450052,0.03548387,0.17018258,0.02182163,0.02182163
toddler,knn,8,1054,0.69070209,0.94686907,0.94629374,0.94780220,0.94478528,0.98647652,0.99076641,0.03908918,0.24293512,0.02087287,0.02466793
toddler,knn,9,1054,0.69070209,0.94876660,0.95020815,0.94642857,0.95398773,0.98747725,0.99138537,0.03635674,0.26629906,0.02087287,0.02466793
toddler,nb,0,1054,0.69070209,0.92314991,0.91811333,0.93131868,0.90490798,0.96456170,0.96495524,0.06172963,0.54265954,0.05080640,0.05689037
toddler,nb,1,1054,0.69070209,0.92979127,0.92800260,0.93269231,0.92331288,0.97045229,0.97434110,0.06079417,0.45124965,0.05490176,0.05532895
toddler,nb,2,1054,0.69070209,0.93074004,0.92784248,0.93543956,0.92024540,0.97510829,0.98349351,0.05786589,0.33884800,0.04953727,0.05001844
toddler,nb,3,1054,0.69070209,0.93643264,0.93619800,0.93681319,0.93558282,0.97502823,0.98394103,0.05401126,0.35991151,0.04546570,0.04760040
toddler,nb,4,1054,0.69070209,0.93263757,0.93345075,0.93131868,0.93558282,0.97938507,0.98665662,0.05522496,0.33250069,0.04753702,0.04753702
toddler,nb,5,1054,0.69070209,0.92599620,0.92610227,0.92582418,0.92638037,0.97320375,0.98356305,0.06140741,0.36267146,0.05554762,0.05636860
toddler,nb,6,1054,0.69070209,0.92409867,0.92134093,0.92857143,0.91411043,0.97044807,0.97456797,0.06133993,0.44631048,0.05506360,0.05682926
toddler,nb,7,1054,0.69070209,0.93263757,0.92921611,0.93818681,0.92024540,0.97984014,0.98682444,0.05477612,0.29095588,0.04195893,0.04294183
toddler,nb,8,1054,0.69070209,0.92125237,0.91673970,0.92857143,0.90490798,0.97004357,0.98195200,0.06533236,0.42780785,0.05819224,0.06477917
toddler,nb,9,1054,0.69070209,0.91176471,0.90224921,0.92719780,0.87730061,0.96814957,0.97304237,0.06949608,0.43487003,0.06445551,0.06445551
toddler,rf,0,1054,0.69070209,0.95920304,0.96199774,0.95467033,0.96932515,0.99550833,0.99802943,0.04210319,0.16086745,0.08580975,0.08580975
toddler,rf,1,1054,0.69070209,0.96489564,0.96527169,0.96428571,0.96625767,0.99537771,0.99794602,0.04227159,0.16076841,0.08628264,0.08905884
toddler,rf,2,1054,0.69070209,0.95825427,0.96131093,0.95329670,0.96932515,0.99507011,0.99780079,0.04308789,0.16307927,0.08966746,0.08966746
toddler,rf,3,1054,0.69070209,0.95351044,0.95364222,0.95329670,0.95398773,0.99461926,0.99762877,0.04374716,0.16432425,0.08654097,0.08654097
toddler,rf,4,1054,0.69070209,0.95635674,0.95909037,0.95192308,0.96625767,0.99490578,0.99773876,0.04383064,0.16493321,0.08795177,0.08795177
toddler,rf,5,1054,0.69070209,0.96110057,0.96252444,0.95879121,0.96625767,0.99436645,0.99755224,0.04389948,0.16427614,0.08159679,0.08593574
toddler,rf,6,1054,0.69070209,0.96015180,0.96268455,0.95604396,0.96932515,0.99597182,0.99824144,0.04188505,0.16024416,0.09231647,0.09231647
toddler,rf,7,1054,0.69070209,0.96015180,0.96268455,0.95604396,0.96932515,0.99528501,0.99792482,0.04292455,0.16229232,0.08709293,0.08709293
toddler,rf,8,1054,0.69070209,0.95635674,0.95654959,0.95604396,0.95705521,0.99444650,0.99751495,0.04400530,0.16530095,0.08984881,0.08984881
toddler,rf,9,1054,0.69070209,0.95825427,0.95538242,0.96291209,0.94785276,0.99486786,0.99773587,0.04359615,0.16457755,0.08960254,0.08960254
toddler,svm,0,1054,0.69070209,0.99240987,0.99450549,0.98901099,1.00000000,0.99997050,0.99998681,0.03835500,0.17401932,0.13819794,0.14078614
toddler,svm,1,1054,0.69070209,0.99051233,0.99228494,0.98763736,0.99693252,0.99985674,0.99993610,0.03961775,0.17750187,0.13707163,0.14126594
toddler,svm,2,1054,0.69070209,0.99146110,0.99381868,0.98763736,1.00000000,0.99983146,0.99992498,0.03933947,0.17657284,0.13691532,0.14137919
toddler,svm,3,1054,0.69070209,0.99240987,0.99450549,0.98901099,1.00000000,0.99991573,0.99996240,0.03970811,0.17736400,0.13675290,0.14304293
toddler,svm,4,1054,0.69070209,0.99146110,0.99381868,0.98763736,1.00000000,0.99991573,0.99996244,0.04020430,0.17862287,0.13855345,0.14293080
toddler,svm,5,1054,0.69070209,0.99240987,0.99450549,0.98901099,1.00000000,0.99991573,0.99996249,0.03931812,0.17634490,0.13858832,0.14230360
toddler,svm,6,1054,0.69070209,0.99240987,0.99365857,0.99038462,0.99693252,0.99994101,0.99997359,0.03819675,0.17359209,0.13840069,0.14065448
toddler,svm,7,1054,0.69070209,0.99051233,0.99228494,0.98763736,0.99693252,0.99986938,0.99994148,0.03907767,0.17588205,0.13985277,0.14005701
toddler,svm,8,1054,0.69070209,0.98956357,0.99075120,0.98763736,0.99386503,0.99964185,0.99983809,0.04012483,0.17824095,0.13505585,0.14049085
toddler,svm,9,1054,0.69070209,0.98766603,0.98853064,0.98626374,0.99079755,0.99970084,0.99986533,0.03906650,0.17550769,0.13743098,0.13743098
toddler,xgb,0,1054,0.69070209,0.98956357,0.99159813,0.98626374,0.99693252,0.99957864,0.99981480,0.01421780,0.05947340,0.03667751,0.03667751
toddler,xgb,1,1054,0.69070209,0.98387097,0.98493646,0.98214286,0.98773006,0.99928791,0.99968483,0.01532716,0.06224549,0.03203703,0.03242914
toddler,xgb,2,1054,0.69070209,0.98481973,0.98647020,0.98214286,0.99079755,0.99930897,0.99969502,0.01611789,0.06357575,0.03309773,0.03386289
toddler,xgb,3,1054,0.69070209,0.98197343,0.98356283,0.97939560,0.98773006,0.99927526,0.99967777,0.01640608,0.06445043,0.03562649,0.03562649
