cohort,model,n_samples,n_repeats,positive_rate_mean,positive_rate_sd,positive_rate_ci95_lower,positive_rate_ci95_upper,accuracy_mean,accuracy_sd,accuracy_ci95_lower,accuracy_ci95_upper,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_lower,balanced_accuracy_ci95_upper,sensitivity_mean,sensitivity_sd,sensitivity_ci95_lower,sensitivity_ci95_upper,specificity_mean,specificity_sd,specificity_ci95_lower,specificity_ci95_upper,auroc_mean,auroc_sd,auroc_ci95_lower,auroc_ci95_upper,auprc_mean,auprc_sd,auprc_ci95_lower,auprc_ci95_upper,brier_mean,brier_sd,brier_ci95_lower,brier_ci95_upper,log_loss_mean,log_loss_sd,log_loss_ci95_lower,log_loss_ci95_upper,ece_5_mean,ece_5_sd,ece_5_ci95_lower,ece_5_ci95_upper,ece_10_mean,ece_10_sd,ece_10_ci95_lower,ece_10_ci95_upper
toddler,logreg,1054,10,0.69070209,0.00000000,0.69070209,0.69070209,1.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00395895,0.00020002,0.00381587,0.00410203,0.02734456,0.00069305,0.02684878,0.02784034,0.02503746,0.00056468,0.02463351,0.02544141,0.02503746,0.00056468,0.02463351,0.02544141
toddler,dtree,1054,10,0.69070209,0.00000000,0.69070209,0.69070209,0.90986717,0.00769483,0.90436262,0.91537172,0.90502554,0.00938350,0.89831298,0.91173809,0.91771978,0.00680527,0.91285158,0.92258797,0.89233129,0.01546978,0.88126488,0.90339770,0.92091978,0.00974212,0.91395069,0.92788887,0.93892265,0.00731510,0.93368975,0.94415556,0.07699183,0.00735172,0.07173273,0.08225094,2.26366393,0.29632184,2.05168806,2.47563981,0.07496468,0.00714649,0.06985239,0.08007698,0.07501774,0.00712818,0.06991855,0.08011693
toddler,knn,1054,10,0.69070209,0.00000000,0.69070209,0.69070209,0.95085389,0.00337076,0.94844260,0.95326518,0.95087221,0.00362858,0.94827648,0.95346794,0.95082418,0.00341417,0.94838183,0.95326652,0.95092025,0.00500918,0.94733690,0.95450360,0.98953221,0.00167078,0.98833701,0.99072741,0.99321605,0.00142727,0.99219504,0.99423706,0.03607970,0.00147059,0.03502770,0.03713169,0.19645810,0.03760021,0.16956053,0.22335567,0.02127135,0.00281371,0.01925854,0.02328416,0.02278937,0.00230055,0.02114366,0.02443509
toddler,nb,1054,10,0.69070209,0.00000000,0.69070209,0.69070209,0.92685010,0.00717628,0.92171649,0.93198370,0.92392554,0.00982060,0.91690030,0.93095077,0.93159341,0.00418649,0.92859857,0.93458824,0.91625767,0.01735533,0.90384242,0.92867292,0.97262207,0.00484428,0.96915668,0.97608746,0.97933373,0.00720316,0.97418090,0.98448656,0.06019778,0.00490041,0.05669224,0.06370332,0.39877851,0.07474702,0.34530771,0.45224931,0.05234660,0.00661313,0.04761585,0.05707736,0.05427495,0.00722148,0.04910902,0.05944089
toddler,rf,1054,10,0.69070209,0.00000000,0.69070209,0.69070209,0.95882353,0.00310511,0.95660227,0.96104479,0.96011385,0.00378055,0.95740941,0.96281829,0.95673077,0.00410814,0.95379198,0.95966956,0.96349693,0.00771289,0.95797946,0.96901440,0.99504188,0.00050477,0.99468079,0.99540298,0.99781131,0.00022680,0.99764906,0.99797355,0.04313510,0.00080500,0.04255924,0.04371096,0.16306637,0.00189994,0.16170724,0.16442551,0.08767101,0.00294425,0.08556482,0.08977721,0.08838253,0.00208350,0.08689208,0.08987297
toddler,svm,1054,10,0.69070209,0.00000000,0.69070209,0.69070209,0.99108159,0.00156219,0.98996407,0.99219912,0.99286641,0.00195647,0.99146683,0.99426599,0.98818681,0.00115834,0.98735818,0.98901544,0.99754601,0.00316808,0.99527970,0.99981232,0.99985590,0.00010633,0.99977983,0.99993196,0.99993537,0.00004810,0.99990096,0.99996978,0.03930085,0.00066513,0.03882504,0.03977666,0.17636486,0.00167035,0.17516996,0.17755976,0.13768199,0.00132745,0.13673239,0.13863158,0.14103419,0.00162806,0.13986955,0.14219884
toddler,xgb,1054,10,0.69070209,0.00000000,0.69070209,0.69070209,0.98462998,0.00231537,0.98297366,0.98628630,0.98616345,0.00235813,0.98447655,0.98785036,0.98214286,0.00242285,0.98040965,0.98387606,0.99018405,0.00281883,0.98816758,0.99220052,0.99928538,0.00020260,0.99914045,0.99943031,0.99968327,0.00009045,0.99961857,0.99974798,0.01591125,0.00108334,0.01513628,0.01668623,0.06318986,0.00248716,0.06141065,0.06496907,0.03455952,0.00165187,0.03337784,0.03574119,0.03505052,0.00157438,0.03392428,0.03617677
toddler,adaboost,1054,10,0.69070209,0.00000000,0.69070209,0.69070209,0.91935484,0.00256927,0.91751689,0.92119279,0.93992702,0.00254041,0.93810972,0.94174432,0.88598901,0.00296737,0.88386628,0.88811174,0.99386503,0.00323341,0.99155199,0.99617808,0.99160318,0.00048661,0.99125508,0.99195128,0.99633001,0.00021288,0.99617773,0.99648230,0.10196882,0.00028159,0.10176739,0.10217026,0.36400768,0.00057350,0.36359743,0.36441794,0.24778335,0.00261607,0.24591193,0.24965478,0.24778335,0.00261607,0.24591193,0.24965478
toddler,mlp,1054,10,0.69070209,0.00000000,0.69070209,0.69070209,0.98908918,0.00431894,0.98599960,0.99217877,0.99167818,0.00327342,0.98933652,0.99401984,0.98489011,0.00617708,0.98047129,0.98930893,0.99846626,0.00216904,0.99691462,1.00000000,0.99981924,0.00011005,0.99974051,0.99989796,0.99991952,0.00004895,0.99988450,0.99995454,0.01347320,0.00221571,0.01188818,0.01505823,0.05796904,0.00704845,0.05292688,0.06301120,0.03991712,0.00364780,0.03730764,0.04252660,0.04169396,0.00379513,0.03897908,0.04440883
child,logreg,290,10,0.48275862,0.00000000,0.48275862,0.48275862,0.99310345,0.00398172,0.99025509,0.99595180,0.99333333,0.00384900,0.99057992,0.99608674,1.00000000,0.00000000,1.00000000,1.00000000,0.98666667,0.00769800,0.98115985,0.99217349,0.99992381,0.00012336,0.99983556,1.00000000,0.99991858,0.00013200,0.99982415,1.00000000,0.01591537,0.00114904,0.01509340,0.01673734,0.07402698,0.00288558,0.07196276,0.07609120,0.05938029,0.00388723,0.05659954,0.06216105,0.06015864,0.00342782,0.05770653,0.06261075
