cohort,metric,method,average_rank
toddler,brier,platt,1.77777778
toddler,brier,temperature,4.66666667
toddler,brier,histbin,3.77777778
toddler,brier,isotonic,2.66666667
toddler,brier,beta,2.11111111
child,brier,platt,2.11111111
child,brier,temperature,3.33333333
child,brier,histbin,4.44444444
child,brier,isotonic,2.88888889
child,brier,beta,2.22222222
adolescent,brier,platt,1.88888889
adolescent,brier,temperature,2.33333333
adolescent,brier,histbin,4.88888889
adolescent,brier,isotonic,3.77777778
adolescent,brier,beta,2.11111111
adult,brier,platt,1.66666667
adult,brier,temperature,4.44444444
adult,brier,histbin,4.00000000
adult,brier,isotonic,3.11111111
adult,brier,beta,1.77777778
toddler,ece_5,platt,2.66666667
toddler,ece_5,temperature,4.55555556
toddler,ece_5,histbin,2.44444444
toddler,ece_5,isotonic,2.66666667
toddler,ece_5,beta,2.66666667
child,ece_5,platt,2.55555556
child,ece_5,temperature,3.11111111
child,ece_5,histbin,3.33333333
child,ece_5,isotonic,3.55555556
child,ece_5,beta,2.44444444
adolescent,ece_5,platt,2.44444444
adolescent,ece_5,temperature,3.33333333
adolescent,ece_5,histbin,3.55555556
adolescent,ece_5,isotonic,3.66666667
adolescent,ece_5,beta,2.00000000
adult,ece_5,platt,2.77777778
adult,ece_5,temperature,5.00000000
adult,ece_5,histbin,2.88888889
adult,ece_5,isotonic,2.66666667
adult,ece_5,beta,1.66666667
toddler,ece_10,platt,3.00000000
toddler,ece_10,temperature,4.55555556
toddler,ece_10,histbin,1.88888889
toddler,ece_10,isotonic,2.33333333
toddler,ece_10,beta,3.22222222
child,ece_10,platt,3.11111111
child,ece_10,temperature,3.11111111
child,ece_10,histbin,2.77777778
child,ece_10,isotonic,3.44444444
child,ece_10,beta,2.55555556
adolescent,ece_10,platt,2.55555556
adolescent,ece_10,temperature,3.33333333
adolescent,ece_10,histbin,3.66666667
adolescent,ece_10,isotonic,2.66666667
adolescent,ece_10,beta,2.77777778
adult,ece_10,platt,3.44444444
adult,ece_10,temperature,5.00000000
adult,ece_10,histbin,2.00000000
adult,ece_10,isotonic,2.88888889
adult,ece_10,beta,1.66666667
toddler,log_loss,platt,1.44444444
toddler,log_loss,temperature,3.11111111
toddler,log_loss,histbin,4.00000000
toddler,log_loss,isotonic,4.22222222
toddler,log_loss,beta,2.22222222
child,log_loss,platt,1.88888889
child,log_loss,temperature,2.66666667
child,log_loss,histbin,4.33333333
child,log_loss,isotonic,3.77777778
child,log_loss,beta,2.33333333
adolescent,log_loss,platt,1.88888889
adolescent,log_loss,temperature,1.88888889
adolescent,log_loss,histbin,4.55555556
adolescent,log_loss,isotonic,4.44444444
adolescent,log_loss,beta,2.22222222
adult,log_loss,platt,1.44444444
adult,log_loss,temperature,3.22222222
adult,log_loss,histbin,4.44444444
adult,log_loss,isotonic,4.22222222
adult,log_loss,beta,1.66666667
