cohort,metric,method_a,method_b,p_value,significant
toddler,brier,platt,temperature,0.00100707,True
toddler,brier,platt,histbin,0.05643169,False
toddler,brier,platt,isotonic,0.75571611,False
toddler,brier,platt,beta,0.99173946,False
toddler,brier,temperature,histbin,0.75571611,False
toddler,brier,temperature,isotonic,0.05643169,False
toddler,brier,temperature,beta,0.00548513,True
toddler,brier,histbin,isotonic,0.56852835,False
toddler,brier,histbin,beta,0.16640905,False
toddler,brier,isotonic,beta,0.94575755,False
child,brier,platt,temperature,0.47180039,False
child,brier,platt,histbin,0.01503922,True
child,brier,platt,isotonic,0.83507946,False
child,brier,platt,beta,0.99988927,False
child,brier,temperature,histbin,0.56852835,False
child,brier,temperature,isotonic,0.97568473,False
child,brier,temperature,beta,0.56852835,False
child,brier,histbin,isotonic,0.22560889,False
child,brier,histbin,beta,0.02398278,True
child,brier,isotonic,beta,0.89907828,False
adolescent,brier,platt,temperature,0.97568473,False
adolescent,brier,platt,histbin,0.00054601,True
adolescent,brier,platt,isotonic,0.08317991,False
adolescent,brier,platt,beta,0.99828239,False
adolescent,brier,temperature,histbin,0.00548513,True
adolescent,brier,temperature,isotonic,0.29714277,False
adolescent,brier,temperature,beta,0.99828239,False
adolescent,brier,histbin,isotonic,0.56852835,False
adolescent,brier,histbin,beta,0.00181454,True
adolescent,brier,isotonic,beta,0.16640905,False
adult,brier,platt,temperature,0.00181454,True
adult,brier,platt,histbin,0.01503922,True
adult,brier,platt,isotonic,0.29714277,False
adult,brier,platt,beta,0.99988927,False
adult,brier,temperature,histbin,0.97568473,False
adult,brier,temperature,isotonic,0.38002466,False
adult,brier,temperature,beta,0.00319295,True
adult,brier,histbin,isotonic,0.75571611,False
adult,brier,histbin,beta,0.02398278,True
adult,brier,isotonic,beta,0.38002466,False
adult,ece_5,platt,temperature,0.02398278,True
adult,ece_5,platt,histbin,0.99988927,False
adult,ece_5,platt,isotonic,0.99988927,False
adult,ece_5,platt,beta,0.56852835,False
adult,ece_5,temperature,histbin,0.03727399,True
adult,ece_5,temperature,isotonic,0.01503922,True
adult,ece_5,temperature,beta,0.00007582,True
adult,ece_5,histbin,isotonic,0.99828239,False
adult,ece_5,histbin,beta,0.47180039,False
adult,ece_5,isotonic,beta,0.66506999,False
toddler,ece_10,platt,temperature,0.22560889,False
toddler,ece_10,platt,histbin,0.56852835,False
toddler,ece_10,platt,isotonic,0.89907828,False
toddler,ece_10,platt,beta,0.99828239,False
toddler,ece_10,temperature,histbin,0.00319295,True
toddler,ece_10,temperature,isotonic,0.02398278,True
toddler,ece_10,temperature,beta,0.38002466,False
toddler,ece_10,histbin,isotonic,0.97568473,False
toddler,ece_10,histbin,beta,0.38002466,False
toddler,ece_10,isotonic,beta,0.75571611,False
adult,ece_10,platt,temperature,0.22560889,False
adult,ece_10,platt,histbin,0.29714277,False
adult,ece_10,platt,isotonic,0.94575755,False
adult,ece_10,platt,beta,0.11930294,False
adult,ece_10,temperature,histbin,0.00054601,True
adult,ece_10,temperature,isotonic,0.03727399,True
adult,ece_10,temperature,beta,0.00007582,True
adult,ece_10,histbin,isotonic,0.75571611,False
adult,ece_10,histbin,beta,0.99173946,False
adult,ece_10,isotonic,beta,0.47180039,False
toddler,log_loss,platt,temperature,0.16640905,False
toddler,log_loss,platt,histbin,0.00548513,True
toddler,log_loss,platt,isotonic,0.00181454,True
toddler,log_loss,platt,beta,0.83507946,False
toddler,log_loss,temperature,histbin,0.75571611,False
toddler,log_loss,temperature,isotonic,0.56852835,False
toddler,log_loss,temperature,beta,0.75571611,False
toddler,log_loss,histbin,isotonic,0.99828239,False
toddler,log_loss,histbin,beta,0.11930294,False
toddler,log_loss,isotonic,beta,0.05643169,False
child,log_loss,platt,temperature,0.83507946,False
child,log_loss,platt,histbin,0.00919581,True
child,log_loss,platt,isotonic,0.08317991,False
child,log_loss,platt,beta,0.97568473,False
child,log_loss,temperature,histbin,0.16640905,False
child,log_loss,temperature,isotonic,0.56852835,False
child,log_loss,temperature,beta,0.99173946,False
child,log_loss,histbin,isotonic,0.94575755,False
child,log_loss,histbin,beta,0.05643169,False
child,log_loss,isotonic,beta,0.29714277,False
adolescent,log_loss,platt,temperature,1.00000000,False
adolescent,log_loss,platt,histbin,0.00319295,True
adolescent,log_loss,platt,isotonic,0.00548513,True
adolescent,log_loss,platt,beta,0.99173946,False
adolescent,log_loss,temperature,histbin,0.00319295,True
adolescent,log_loss,temperature,isotonic,0.00548513,True
adolescent,log_loss,temperature,beta,0.99173946,False
adolescent,log_loss,histbin,isotonic,0.99988927,False
adolescent,log_loss,histbin,beta,0.01503922,True
adolescent,log_loss,isotonic,beta,0.02398278,True
adult,log_loss,platt,temperature,0.11930294,False
adult,log_loss,platt,histbin,0.00054601,True
adult,log_loss,platt,isotonic,0.00181454,True
adult,log_loss,platt,beta,0.99828239,False
adult,log_loss,temperature,histbin,0.47180039,False
adult,log_loss,temperature,isotonic,0.66506999,False
adult,log_loss,temperature,beta,0.22560889,False
adult,log_loss,histbin,isotonic,0.99828239,False
adult,log_loss,histbin,beta,0.00181454,True
adult,log_loss,isotonic,beta,0.00548513,True
