cohort,metric,method,n_models,mean_improvement,median_improvement,improved_models,worsened_models,wilcoxon_statistic,p_value,rank_biserial,p_value_holm,significant
toddler,brier,platt,9,0.01703373,0.00799578,8,1,1.00000000,0.00781250,0.95555556,0.02343750,True
toddler,brier,temperature,9,0.01256313,0.00668760,8,1,1.00000000,0.00781250,0.95555556,0.02343750,True
toddler,brier,histbin,9,0.01601643,0.00675374,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
toddler,brier,isotonic,9,0.01696497,0.00778863,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
toddler,brier,beta,9,0.01714104,0.00804313,8,1,1.00000000,0.00781250,0.95555556,0.02343750,True
child,brier,platt,9,0.02761739,0.01732750,8,1,1.00000000,0.00781250,0.95555556,0.02343750,True
child,brier,temperature,9,0.02543756,0.01589029,8,1,3.00000000,0.01953125,0.86666667,0.02343750,True
child,brier,histbin,9,0.02523059,0.01573070,8,1,1.00000000,0.00781250,0.95555556,0.02343750,True
child,brier,isotonic,9,0.02823406,0.02406101,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
child,brier,beta,9,0.02895777,0.01839319,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adolescent,brier,platt,9,0.02935769,0.02613123,8,1,2.00000000,0.01171875,0.91111111,0.04687500,True
adolescent,brier,temperature,9,0.02587230,0.01626032,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adolescent,brier,histbin,9,0.01477968,0.01166221,6,3,11.00000000,0.20312500,0.51111111,0.20312500,False
adolescent,brier,isotonic,9,0.02482331,0.02446707,7,2,4.00000000,0.02734375,0.82222222,0.05468750,False
adolescent,brier,beta,9,0.02880384,0.02537334,8,1,2.00000000,0.01171875,0.91111111,0.04687500,True
adult,brier,platt,9,0.01626366,0.00741009,8,1,1.00000000,0.00781250,0.95555556,0.03125000,True
adult,brier,temperature,9,0.01120127,0.00633317,8,1,2.00000000,0.01171875,0.91111111,0.03125000,True
adult,brier,histbin,9,0.01464822,0.00660097,8,1,3.00000000,0.01953125,0.86666667,0.03125000,True
adult,brier,isotonic,9,0.01553838,0.00675372,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adult,brier,beta,9,0.01631265,0.00766819,8,1,1.00000000,0.00781250,0.95555556,0.03125000,True
toddler,ece_5,platt,9,0.07057772,0.03710884,8,1,1.00000000,0.00781250,0.95555556,0.01953125,True
toddler,ece_5,temperature,9,0.05477092,0.02613690,8,1,1.00000000,0.00781250,0.95555556,0.01953125,True
toddler,ece_5,histbin,9,0.07287276,0.03864596,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
toddler,ece_5,isotonic,9,0.07263759,0.04004237,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
toddler,ece_5,beta,9,0.07154075,0.04167054,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
child,ece_5,platt,9,0.09858180,0.08305259,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
child,ece_5,temperature,9,0.09164384,0.08737402,8,1,1.00000000,0.00781250,0.95555556,0.01953125,True
child,ece_5,histbin,9,0.10455614,0.10385333,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
child,ece_5,isotonic,9,0.10544568,0.09970939,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
child,ece_5,beta,9,0.10219816,0.07997910,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adolescent,ece_5,platt,9,0.09213849,0.10415745,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adolescent,ece_5,temperature,9,0.08199372,0.07975216,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adolescent,ece_5,histbin,9,0.08257559,0.09265062,7,2,3.00000000,0.01953125,0.86666667,0.01953125,True
adolescent,ece_5,isotonic,9,0.08776884,0.09001265,8,1,1.00000000,0.00781250,0.95555556,0.01953125,True
adolescent,ece_5,beta,9,0.09283447,0.10396949,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adult,ece_5,platt,9,0.07173512,0.05508790,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adult,ece_5,temperature,9,0.04841533,0.03490491,8,1,2.00000000,0.01171875,0.91111111,0.01953125,True
adult,ece_5,histbin,9,0.07126997,0.05533171,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adult,ece_5,isotonic,9,0.07113495,0.05322378,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adult,ece_5,beta,9,0.07257046,0.05531385,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
toddler,ece_10,platt,9,0.06928066,0.03501107,8,1,1.00000000,0.00781250,0.95555556,0.01953125,True
toddler,ece_10,temperature,9,0.05511851,0.02732878,8,1,1.00000000,0.00781250,0.95555556,0.01953125,True
toddler,ece_10,histbin,9,0.07121409,0.03691354,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
toddler,ece_10,isotonic,9,0.07066825,0.03830721,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
toddler,ece_10,beta,9,0.06958250,0.03627752,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
child,ece_10,platt,9,0.10164417,0.07296866,8,1,1.00000000,0.00781250,0.95555556,0.01953125,True
child,ece_10,temperature,9,0.09648418,0.08031714,8,1,1.00000000,0.00781250,0.95555556,0.01953125,True
child,ece_10,histbin,9,0.10726258,0.10244666,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
child,ece_10,isotonic,9,0.10660669,0.10075835,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
child,ece_10,beta,9,0.10521331,0.06920219,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adolescent,ece_10,platt,9,0.08959923,0.07906962,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adolescent,ece_10,temperature,9,0.08133479,0.06010235,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adolescent,ece_10,histbin,9,0.07878272,0.06986294,8,1,2.00000000,0.01171875,0.91111111,0.01953125,True
adolescent,ece_10,isotonic,9,0.08765502,0.07839994,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adolescent,ece_10,beta,9,0.08655745,0.07908718,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adult,ece_10,platt,9,0.06934500,0.05283582,8,1,1.00000000,0.00781250,0.95555556,0.01953125,True
adult,ece_10,temperature,9,0.04988368,0.03454807,8,1,1.00000000,0.00781250,0.95555556,0.01953125,True
adult,ece_10,histbin,9,0.07048191,0.05491218,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adult,ece_10,isotonic,9,0.06941842,0.05211928,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
adult,ece_10,beta,9,0.07064187,0.05396179,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
toddler,log_loss,platt,9,0.32071737,0.07967936,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
toddler,log_loss,temperature,9,0.30681033,0.07145128,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
toddler,log_loss,histbin,9,0.29152598,0.05303618,8,1,2.00000000,0.01171875,0.91111111,0.01953125,True
toddler,log_loss,isotonic,9,0.29665724,0.05307154,8,1,1.00000000,0.00781250,0.95555556,0.01953125,True
toddler,log_loss,beta,9,0.31967562,0.07926509,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
child,log_loss,platt,9,0.71799760,0.18036534,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
child,log_loss,temperature,9,0.71338175,0.17632698,9,0,0.00000000,0.00390625,1.00000000,0.01953125,True
child,log_loss,histbin,9,0.57610429,0.14014919,6,3,10.00000000,0.16406250,0.55555556,0.32812500,False
